,col
1745, 1 
1746, 0 
1747, 1 
1748, 0 
1749, 1 
1750, 1 
1751, 0xb 
1752, 0 
1753, 0 
1754, 0 
1755, 1 
1756, 0 
1757, 0 
1758, 0 
1759, 0 
1761, 1 
1762, 1 
1763, 1 
1764, 1 
1765, 0 
1766, 1 
1767, 1 
1768, 1 
1769, 0xe 
1770, 0 
1771, 0 
1772, 0 
1773, 0 
1774, 0 
1775, 0 
1776, 1 
1777, 0 
1779, 1 
1780, 0 
1781, 1 
1782, 1 
1783, 1 
1784, 1 
1785, 1 
1786, 1 
1787, 0xd 
1788, 0 
1789, 0 
1790, 0 
1791, 0 
1792, 0 
1794, 1 
1795, 1 
1796, 1 
1797, 1 
1798, 1 
1799, 1 
1800, 1 
1801, 1 
1802, 0xd 
1803, 0 
1804, 0 
1805, 0 
1806, 0 
1807, 0 
1808, 1 
1809, 0 
1810, 0 
1812, 1 
1813, 0 
1814, 1 
1815, 1 
1816, 1 
1817, 1 
1818, 1 
1819, 1 
1820, 0xd 
1821, 0 
1822, 0 
1823, 0 
1824, 0 
1825, 0 
1826, 1 
1827, 0 
1828, 0 
1830, 1 
1831, 1 
1832, 1 
1833, 1 
1834, 1 
1835, 1 
1836, 1 
1837, 1 
1838, 0x9 
1839, 0 
1840, 1 
1841, 0 
1842, 0 
1843, 0 
1844, 0 
1845, 0 
1846, 0 
1848, 1 
1849, 1 
1850, 1 
1851, 1 
1852, 1 
1853, 1 
1854, 1 
1855, 1 
1856, 0xb 
1857, 0 
1858, 0 
1859, 0 
1860, 1 
1861, 0 
1863, 1 
1864, 0 
1865, 1 
1866, 0 
1867, 1 
1868, 1 
1869, 1 
1870, 1 
1871, 0x9 
1872, 0 
1873, 1 
1874, 0 
1875, 0 
1876, 0 
1877, 0 
1878, 0 
1879, 0 
1881, 1 
1882, 1 
1883, 1 
1884, 0 
1885, 1 
1886, 0 
1887, 1 
1888, 1 
1889, 0xf 
1890, 0 
1891, 0 
1892, 0 
1893, 0 
1894, 0 
1895, 0 
1896, 0 
1897, 1 
1899, 1 
1900, 1 
1901, 1 
1902, 0 
1903, 0 
1904, 1 
1905, 1 
1906, 0 
1907, 0xb 
1908, 0 
1909, 0 
1910, 0 
1911, 1 
1912, 0 
1913, 0 
1914, 0 
1915, 0 
1917, 0 
1918, 1 
1919, 1 
1920, 1 
1921, 1 
1922, 1 
1923, 1 
1924, 1 
1925, 0xf 
1926, 0 
1927, 0 
1928, 0 
1929, 0 
1930, 0 
1932, 0 
1933, 0 
1934, 1 
1935, 1 
1936, 1 
1937, 1 
1938, 1 
1939, 1 
1940, 0xf 
1941, 0 
1942, 0 
1943, 0 
1944, 0 
1945, 0 
1946, 0 
1947, 0 
1948, 1 
1950, 1 
1951, 0 
1952, 1 
1953, 0 
1954, 1 
1955, 1 
1956, 1 
1957, 1 
1958, 0xc 
1959, 0 
1960, 0 
1961, 0 
1962, 0 
1963, 1 
1964, 0 
1965, 0 
1966, 0 
1968, 1 
1969, 1 
1970, 1 
1971, 0 
1972, 1 
1973, 1 
1974, 1 
1975, 0 
1976, 0xc 
1977, 0 
1978, 0 
1979, 0 
1980, 0 
1981, 1 
1982, 0 
1983, 0 
1984, 0 
1986, 0 
1987, 0 
1988, 0 
1989, 1 
1990, 1 
1991, 1 
1992, 1 
1993, 0 
1994, 0xa 
1995, 0 
1996, 0 
1997, 1 
1998, 0 
1999, 0 
2001, 0 
2002, 0 
2003, 1 
2004, 1 
2005, 1 
2006, 1 
2007, 1 
2008, 1 
2009, 0x9 
2010, 0 
2011, 1 
2012, 0 
2013, 0 
2014, 0 
2015, 0 
2016, 0 
2017, 0 
2019, 0 
2020, 1 
2021, 1 
2022, 1 
2023, 1 
2024, 1 
2025, 0 
2026, 0 
2027, 0xe 
2028, 0 
2029, 0 
2030, 0 
2031, 0 
2032, 0 
2033, 0 
2034, 1 
2035, 0 
2037, 1 
2038, 1 
2039, 0 
2040, 1 
2041, 1 
2042, 1 
2043, 1 
2044, 1 
2045, 0x9 
2046, 0 
2047, 1 
2048, 0 
2049, 0 
2050, 0 
2051, 0 
2052, 0 
2053, 0 
2055, 1 
2056, 1 
2057, 1 
2058, 1 
2059, 1 
2060, 0 
2061, 1 
2062, 1 
2063, 0x8 
2064, 1 
2065, 0 
2066, 0 
2067, 0 
2068, 0 
2070, 1 
2071, 1 
2072, 0 
2073, 1 
2074, 0 
2075, 1 
2076, 0 
2077, 1 
2078, 0xf 
2079, 0 
2080, 0 
2081, 0 
2082, 0 
2083, 0 
2084, 0 
2085, 0 
2086, 1 
2088, 1 
2089, 1 
2090, 1 
2091, 1 
2092, 1 
2093, 0 
2094, 0 
2095, 1 
2096, 0xf 
2097, 0 
2098, 0 
2099, 0 
2100, 0 
2101, 0 
2102, 0 
2103, 0 
2104, 1 
2106, 0 
2107, 1 
2108, 0 
2109, 1 
2110, 1 
2111, 0 
2112, 1 
2113, 1 
2114, 0xa 
2115, 0 
2116, 0 
2117, 1 
2118, 0 
2119, 0 
2120, 0 
2121, 0 
2122, 0 
2124, 0 
2125, 1 
2126, 1 
2127, 1 
2128, 1 
2129, 0 
2130, 0 
2131, 1 
2132, 0x9 
2133, 0 
2134, 1 
2135, 0 
2136, 0 
2137, 0 
2139, 0 
2140, 1 
2141, 1 
2142, 0 
2143, 1 
2144, 0 
2145, 1 
2146, 0 
2147, 0x9 
2148, 0 
2149, 1 
2150, 0 
2151, 0 
2152, 0 
2153, 0 
2154, 0 
2155, 0 
2157, 0 
2158, 0 
2159, 1 
2160, 1 
2161, 1 
2162, 1 
2163, 0 
2164, 1 
2165, 0xe 
2166, 0 
2167, 0 
2168, 0 
2169, 0 
2170, 0 
2171, 0 
2172, 1 
2173, 0 
2175, 1 
2176, 1 
2177, 0 
2178, 1 
2179, 1 
2180, 1 
2181, 1 
2182, 1 
2183, 0xc 
2184, 0 
2185, 0 
2186, 0 
2187, 0 
2188, 1 
2189, 0 
2190, 0 
2191, 0 
2193, 0 
2194, 1 
2195, 1 
2196, 1 
2197, 1 
2198, 1 
2199, 1 
2200, 1 
2201, 0x9 
2202, 0 
2203, 1 
2204, 0 
2205, 0 
2206, 0 
2208, 1 
2209, 1 
2210, 1 
2211, 1 
2212, 1 
2213, 0 
2214, 1 
2215, 1 
2216, 0xb 
2217, 0 
2218, 0 
2219, 0 
2220, 1 
2221, 0 
2222, 0 
2223, 0 
